step,ts_acc,maj_acc
1,0.5,0.625
2,0.35714285714285715,0.25
3,0.6923076923076923,0.625
4,0.5833333333333334,0.4375
5,0.5384615384615384,0.5
6,0.38461538461538464,0.4375
7,0.5,0.5
8,0.3076923076923077,0.375
9,0.5384615384615384,0.5
10,0.4,0.375
11,0.6666666666666666,0.6875
12,0.4,0.3125
13,0.36363636363636365,0.25
14,0.8571428571428571,0.625
15,0.36363636363636365,0.5
16,0.5333333333333333,0.625
17,0.36363636363636365,0.3125
18,0.5833333333333334,0.625
19,0.3333333333333333,0.5
20,0.5384615384615384,0.5
21,0.5384615384615384,0.4375
22,0.6363636363636364,0.375
23,0.4166666666666667,0.375
24,0.46153846153846156,0.4375
25,0.46153846153846156,0.4375
26,0.5,0.5
27,0.4666666666666667,0.5
28,0.75,0.625
29,0.46153846153846156,0.4375
30,0.5714285714285714,0.5625
31,0.5555555555555556,0.5
32,0.4666666666666667,0.4375
33,0.4444444444444444,0.375
34,0.5714285714285714,0.5625
35,0.8,0.625
36,0.5625,0.5625
37,0.6363636363636364,0.5625
38,0.6666666666666666,0.625
39,0.2727272727272727,0.25
40,0.6666666666666666,0.625
41,0.35714285714285715,0.3125
42,0.3076923076923077,0.375
43,0.4166666666666667,0.4375
44,0.4666666666666667,0.5
45,0.6428571428571429,0.6875
46,0.8461538461538461,0.75
47,0.4666666666666667,0.4375
48,0.5,0.5625
49,0.8181818181818182,0.5
50,0.6428571428571429,0.5625
51,0.6,0.5
52,0.7333333333333333,0.75
53,0.5714285714285714,0.5625
54,0.625,0.6875
55,0.8333333333333334,0.625
56,0.6428571428571429,0.75
57,0.6666666666666666,0.625
58,0.7272727272727273,0.5625
59,0.625,0.5625
60,0.6153846153846154,0.4375
61,0.46153846153846156,0.4375
61,0.5,0.4375
62,0.5833333333333334,0.5
63,0.8461538461538461,0.75
64,0.5714285714285714,0.5625
65,0.6428571428571429,0.625
66,0.5,0.4375
67,0.7142857142857143,0.625
68,0.5,0.5625
69,0.6666666666666666,0.625
70,0.9230769230769231,0.875
71,0.5333333333333333,0.5
72,0.7857142857142857,0.75
73,0.6428571428571429,0.625
74,0.75,0.625
75,0.75,0.625
76,0.6666666666666666,0.5
77,0.5833333333333334,0.5
78,0.5384615384615384,0.5625
79,0.75,0.6875
80,0.5,0.4375
81,0.5,0.5
82,0.75,0.75
83,1.0,0.9375
84,0.6,0.5625
85,0.6666666666666666,0.4375
86,0.5,0.3125
87,0.7142857142857143,0.6875
88,0.8,0.5625
89,0.5384615384615384,0.4375
90,0.6428571428571429,0.6875
91,0.7777777777777778,0.5625
92,0.6153846153846154,0.5
93,0.8888888888888888,0.6875
94,0.75,0.5625
95,0.6153846153846154,0.5
96,0.46153846153846156,0.4375
97,0.6153846153846154,0.5
98,0.6428571428571429,0.5
99,0.75,0.625
100,0.6153846153846154,0.625
101,0.5833333333333334,0.5625
102,0.8181818181818182,0.6875
103,0.7777777777777778,0.5
104,0.6363636363636364,0.5
105,0.35714285714285715,0.375
106,0.6923076923076923,0.625
107,0.7,0.375
108,0.9166666666666666,0.875
109,0.6428571428571429,0.5625
110,0.7272727272727273,0.625
111,0.7142857142857143,0.625
112,0.5833333333333334,0.5625
113,0.8,0.6875
114,0.7142857142857143,0.75
115,0.6923076923076923,0.5625
116,0.6153846153846154,0.6875
117,0.8,0.8125
118,0.6923076923076923,0.625
119,0.6666666666666666,0.5625
120,0.7692307692307693,0.5625
121,0.7777777777777778,0.5
122,0.5,0.375
123,0.6153846153846154,0.5625
124,0.5714285714285714,0.5625
125,0.6666666666666666,0.4375
126,0.5454545454545454,0.5625
127,0.46153846153846156,0.4375
128,0.5833333333333334,0.5625
129,0.8,0.6875
130,0.5833333333333334,0.4375
131,0.5454545454545454,0.375
132,0.6363636363636364,0.5
133,0.75,0.625
134,0.8,0.5
135,0.9090909090909091,0.625
136,0.8461538461538461,0.75
